,Tract ID,e(0),se(e(0)),Zip Code
0,6001400100,87.2,2.5534,94704
1,6001400200,81.5,1.0952,94705
2,6001400300,87.2,3.5274,94609
3,6001400400,82.9,1.8118,94609
4,6001400500,78.8,2.1647,94703
5,6001400600,78.6,2.4001,94609
6,6001400700,80.1,2.0179,94702
7,6001400800,76.9,1.5889,94608
8,6001400900,74.5,2.21,94608
9,6001401000,77.5,1.8596,94608
10,6001401100,80.3,3.0636,94609
11,6001401200,80.0,2.6913,94618
12,6001401300,75.8,1.7997,94609
13,6001401400,73.5,2.1014,94612
14,6001401500,77.3,2.8661,94608
15,6001401600,77.6,3.5769,94612
16,6001401800,77.6,2.0340000000000003,94607
17,6001402200,76.6,2.6682,94623
18,6001402400,78.1,3.2351,94607
19,6001402600,75.4,1.0475,94607
20,6001402700,77.5,2.0026,94612
21,6001402800,76.0,2.7737,94612
22,6001402900,79.6,3.0459,94612
23,6001403000,81.1,1.8675,94612
24,6001403100,80.0,1.5548,94612
25,6001403300,84.5,3.5298,94607
26,6001403400,81.9,1.6965,94604
27,6001403501,80.0,2.7671,94610
28,6001403502,79.4,3.2905,94611
29,6001403600,80.7,2.5415,94610
30,6001403701,84.4,2.0964,94612
31,6001403800,83.8,2.5121,94610
32,6001403900,86.9,3.2987,94610
33,6001404000,82.5,3.0159,94610
34,6001404101,82.7,1.7317,94611
35,6001404102,79.7,2.2063,94620
36,6001404200,84.2,1.8697,94611
37,6001404300,83.3,1.6555,94618
38,6001404400,83.5,1.7128,94618
39,6001404501,86.1,2.1925,94611
40,6001404502,82.4,1.3703,94611
41,6001404600,84.0,1.6452,94611
42,6001404700,82.5,1.6124,94602
43,6001404800,85.2,2.6753,94602
44,6001404900,85.8,2.9865,94610
45,6001405000,81.3,1.1745,94610
46,6001405100,82.4,1.4664,94610
47,6001405200,84.9,2.9202,94610
48,6001405301,80.0,1.7438,94606
49,6001405302,79.5,1.953,94606
50,6001405401,80.8,2.5199,94606
51,6001405402,76.0,2.4383,94606
52,6001405500,78.7,2.5516,94606
53,6001405600,78.2,1.7080000000000002,94610
54,6001405700,76.4,1.2541,94602
55,6001405800,76.6,1.7146,94606
56,6001405901,77.9,2.1514,94606
57,6001405902,77.7,2.2091,94606
58,6001406000,77.9,1.5139,94606
59,6001406100,76.2,1.4586,94606
60,6001406201,75.3,1.8887,94606
61,6001406202,77.4,2.0795,94601
62,6001406300,82.3,2.647,94601
63,6001406400,72.5,1.8017,94602
64,6001406500,81.1,2.2302,94602
65,6001406601,77.9,1.1891,94619
66,6001406602,80.4,3.0769,94602
67,6001406700,83.3,2.0496,94602
68,6001406800,79.7,1.5490000000000002,94602
69,6001406900,78.2,1.3937,94619
70,6001407000,77.1,1.9529,94619
71,6001407101,80.2,2.9558,94601
72,6001407102,81.6,2.5344,94619
73,6001407200,78.5,1.1938,94601
74,6001407300,73.9,2.1253,94621
75,6001407400,78.3,3.0512,94621
76,6001407500,71.7,2.312,94601
77,6001407600,74.2,1.1746,94601
78,6001407700,78.1,1.6435,94619
79,6001407800,82.3,2.5112,94613
80,6001407900,83.3,2.4552,94619
81,6001408000,79.5,0.9933,94602
82,6001408100,82.4,1.0992,94619
83,6001408200,76.8,2.6882,94605
84,6001408300,77.9,1.5346,94605
85,6001408400,75.3,1.3617,94605
86,6001408500,72.8,1.2943,94605
87,6001408600,76.7,1.8792,94605
88,6001408700,76.4,1.8021,94605
89,6001408800,74.0,1.6519,94621
90,6001408900,74.2,2.5196,94621
91,6001409000,74.6,1.7192,94614
92,6001409100,75.7,2.1078,94603
93,6001409200,73.8,2.1146,94603
94,6001409300,76.2,1.7703,94603
95,6001409400,76.2,2.135,94603
96,6001409500,75.2,2.6078,94621
97,6001409600,75.3,2.3014,94621
98,6001409700,72.9,1.9037,94605
99,6001409800,81.0,2.7329,94605
100,6001409900,83.2,1.9983,94605
101,6001410000,81.7,1.7818,94605
102,6001410100,76.4,1.2022,94605
103,6001410200,73.6,1.8917,94605
104,6001410300,75.5,2.0881,94603
105,6001410400,78.7,1.557,94603
106,6001410500,72.3,2.2377,94607
107,6001420100,82.0,1.4235,94706
108,6001420200,83.6,2.0513,94706
109,6001420300,81.9,1.6793,94706
110,6001420500,81.3,1.7237,94706
111,6001420600,83.5,2.4417,94706
112,6001421100,92.6,3.6665,94707
113,6001421200,86.2,1.6513,94707
114,6001421300,86.0,2.3204,94706
115,6001421400,81.2,0.7224,94709
116,6001421500,87.2,1.9853,94709
117,6001421600,88.3,1.8635,94708
118,6001421700,85.8,2.8271,94707
119,6001421800,85.7,2.3525,94707
120,6001421900,84.6,2.0284,94706
121,6001422000,79.9,2.0167,94706
122,6001422100,77.6,1.7026,94710
123,6001422200,84.7,3.0875,94702
124,6001422300,85.7,3.0389,94704
125,6001422400,80.4,1.848,94720
126,6001422500,81.5,1.9019,94708
127,6001422900,77.0,2.1787,94712
128,6001423000,83.8,1.7065,94704
129,6001423100,81.3,1.7855,94702
130,6001423200,78.5,2.0927,94702
131,6001423300,80.6,1.7217,94702
132,6001423400,80.3,2.3725,94703
133,6001423500,81.0,3.1046,94703
134,6001423700,88.6,2.388,94705
135,6001423800,87.7,2.2288,94618
136,6001423901,80.9,1.3931,94703
137,6001423902,81.5,1.6224,94609
138,6001424001,76.5,1.9624,94702
139,6001424002,79.1,3.2375,94702
140,6001425101,81.0,1.9502,94608
141,6001425102,80.9,1.5136,94608
142,6001425103,80.9,2.5065,94662
143,6001425104,80.0,1.3671,94608
144,6001426200,82.2,3.1556,94610
145,6001427100,80.9,1.4954,94501
146,6001427200,79.9,1.9184,94501
147,6001427300,78.0,1.2697,94501
148,6001427600,76.0,1.1740000000000002,94501
149,6001427700,78.9,1.4861,94501
150,6001427800,80.9,1.4003,94501
151,6001427900,82.0,2.2801,94501
152,6001428000,80.4,1.9028,94501
153,6001428100,80.3,1.3366,94501
154,6001428200,82.7,1.4977,94501
155,6001428301,81.5,1.0808,94502
156,6001428302,86.0,1.9424,94502
157,6001428400,79.9,1.3604,94501
158,6001428500,81.8,1.4278,94501
159,6001428600,80.2,1.3108,94501
160,6001428700,80.3,1.6721,94501
161,6001430101,82.2,1.6772,94552
162,6001430102,85.9,2.846,94619
163,6001430200,82.7,1.3656,94546
164,6001430300,82.1,1.3844,94546
165,6001430400,81.7,1.465,94546
166,6001430500,80.6,1.5934,94578
167,6001430600,82.1,1.6235,94546
168,6001430700,80.2,1.1686,94546
169,6001430800,82.8,2.0315,94546
170,6001430900,76.9,1.271,94546
171,6001431000,79.7,1.7171,94546
172,6001431100,76.8,2.0888,94546
173,6001431200,79.4,1.4625,94546
