Zipcode,Year,Life Expectancy
95471,2000,74.88
94509,2000,76.39
94591,2000,78.25
94619,2000,78.30
94619,2000,78.30
94564,2000,77.15
94552,2000,80.22
94555,2000,80.97
94930,2000,78.67
95409,2000,80.37
95409,2000,80.37
94904,2000,81.76
94024,2000,81.67
94607,2000,72.52
94607,2000,72.52
95121,2000,78.91
94569,2000,77.70
94021,2000,80.36
94924,2000,79.37
94124,2000,73.28
94804,2000,73.86
94014,2000,79.45
94118,2000,80.94
94132,2000,79.80
94707,2000,82.25
94933,2000,78.67
95138,2000,80.50
95148,2000,80.21
94563,2000,81.88
94127,2000,82.56
94806,2000,75.46
95687,2000,77.78
95128,2000,77.08
94086,2000,79.58
95051,2000,79.78
94610,2000,79.04
94518,2000,79.18
95461,2000,81.04
95461,2000,81.04
94027,2000,81.40
94553,2000,77.70
94595,2000,83.02
94521,2000,78.51
94521,2000,78.51
94901,2000,79.77
95444,2000,79.57
94577,2000,77.71
94547,2000,79.82
95002,2000,76.13
95694,2000,76.87
94109,2000,78.44
94508,2000,81.04
95030,2000,77.00
95117,2000,80.06
95497,2000,79.81
94580,2000,78.66
94586,2000,78.62
94706,2000,79.91
94964,2000,79.93
94971,2000,79.81
94025,2000,81.40
95421,2000,79.81
95125,2000,80.13
94599,2000,77.62
94599,2000,77.62
94702,2000,76.96
94538,2000,77.65
95134,2000,76.13
94710,2000,76.96
94403,2000,79.88
94588,2000,79.35
94070,2000,81.17
94530,2000,80.98
94602,2000,78.07
94602,2000,78.07
94519,2000,77.55
94306,2000,81.85
94972,2000,79.81
95112,2000,77.91
94019,2000,79.51
94561,2000,76.56
94561,2000,76.56
94561,2000,76.56
95124,2000,79.89
94611,2000,80.81
95139,2000,79.62
94526,2000,80.44
95050,2000,79.20
94940,2000,79.37
94087,2000,81.34
94028,2000,82.81
94038,2000,78.35
95625,2000,77.78
94929,2000,79.81
94952,2000,77.64
94952,2000,77.64
95127,2000,78.50
95133,2000,81.80
95480,2000,79.81
94121,2000,80.64
94709,2000,82.75
94133,2000,80.65
94571,2000,76.01
94571,2000,76.01
94571,2000,76.01
94571,2000,76.01
94571,2000,76.01
94571,2000,76.01
94571,2000,76.01
95425,2000,76.21
94065,2000,80.72
94065,2000,80.72
94065,2000,80.72
94065,2000,80.72
94065,2000,80.72
94618,2000,79.77
94558,2000,77.62
94558,2000,77.62
94558,2000,77.62
94558,2000,77.62
94603,2000,70.85
94931,2000,77.37
94973,2000,78.67
95014,2000,81.15
94105,2000,76.13
94402,2000,81.01
94402,2000,81.01
94402,2000,81.01
94587,2000,79.14
94550,2000,78.62
94515,2000,81.04
94525,2000,77.70
95616,2000,79.20
95616,2000,79.20
95616,2000,79.20
95140,2000,79.86
94703,2000,77.43
94903,2000,80.42
94129,2000,80.85
95688,2000,76.87
95110,2000,77.55
95472,2000,79.57
94708,2000,84.03
95032,2000,81.80
94520,2000,74.82
94005,2000,79.45
94128,2000,78.17
94074,2000,80.36
95123,2000,79.04
94123,2000,80.85
94544,2000,76.68
95020,2000,78.53
94507,2000,80.24
95404,2000,78.82
95404,2000,78.82
94609,2000,72.47
95135,2000,82.97
95465,2000,79.81
94598,2000,80.92
94536,2000,79.52
95462,2000,74.88
95462,2000,74.88
94705,2000,80.03
